epoch,train_loss,train_mae,val_loss,val_mae,val_rmse,lr
1,35.11045400135193,37.674400329589844,13.530528972822149,15.204353332519531,27.13848114013672,0.0003
2,20.474184476876374,22.772855758666992,5.983264774874164,7.596970558166504,14.01284122467041,0.0003
3,14.698405580525485,16.8528995513916,7.8643855888625795,9.834197998046875,16.114349365234375,0.0003
4,13.174875206048705,15.220846176147461,2.942718025674755,4.3463029861450195,8.244595527648926,0.0003
5,11.141589159415942,13.18707275390625,8.04875583841725,9.943500518798828,16.531614303588867,0.0003
6,10.02328785114771,11.98758602142334,4.166808360192746,5.697872638702393,10.831704139709473,0.0003
7,10.086265389963073,12.032999992370605,5.972355316956504,7.658958911895752,13.743005752563477,0.0003
8,8.441374805020352,10.360430717468262,9.410949156767947,11.191428184509277,18.716815948486328,0.00015
9,7.920775568966324,9.761274337768555,12.009000911381689,13.99708366394043,21.9466495513916,0.00015
10,7.955019174046151,9.81715202331543,6.91008968514497,8.557352066040039,15.055325508117676,0.00015
