epoch,train_loss,train_mae,val_loss,val_mae,val_rmse,lr
1,46.36757228113543,49.57758712768555,52.28402510823126,56.2458381652832,87.49075317382812,0.0007
2,41.74044275355303,44.97222137451172,45.64902672606904,47.88395690917969,79.37786102294922,0.0007
3,34.17065684191291,36.37212371826172,39.58587547628626,41.77715301513672,69.03514099121094,0.0007
4,26.842676068353153,28.90146827697754,30.84235809915956,33.02281188964844,56.01931381225586,0.0007
5,21.156225398920107,23.193675994873047,24.60663492516856,26.7958927154541,44.48603439331055,0.0007
6,15.522144186085669,17.551952362060547,23.854070189868043,26.01512908935547,38.50961685180664,0.0007
7,11.627026789549408,13.56309986114502,16.702674675679933,18.84560775756836,27.59769058227539,0.0007
8,9.18332036789032,11.088934898376465,19.22391215158982,21.37074089050293,30.71430015563965,0.0007
9,8.121686874658451,9.94107437133789,18.887390490025133,21.027212142944336,30.512237548828125,0.0007
10,7.651853366949033,9.5147705078125,19.59680914194668,21.740659713745117,31.821754455566406,0.0007
