model_key,n_predictions,weighted_mae,weighted_rmse,weighted_r2,weighted_smape,bias_pred_minus_actual,median_absolute_error
D,3894,14.150090867026867,18.328853864598372,0.5344055880340901,39.32466927955979,1.735746130370212,10.99625015258789
B,3894,15.156411302659103,18.908716896011544,0.504479916472758,42.664593832355834,3.366175155793941,13.122499465942383
A,3894,15.464515608582794,19.193391832642295,0.4894472719880709,47.01210263206327,2.7185000466516707,14.846250534057617
C,3894,16.124551593247105,20.451540074673876,0.42031885155979576,44.91908670811569,1.8050514719213164,14.0
