epoch,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse,val_r2,val_smape,learning_rate,model_key,fold_name,test_group
1,0.0694156394136878,9.232871055603027,12.413166046142578,0.2177734827020545,19.522430419921875,21.84768867492676,0.4772709957377206,49.102046966552734,0.0003,A,holdout_F01,F01
2,0.017466199118644,4.765299320220947,6.181958198547363,0.207669283998742,19.36524200439453,21.320762634277344,0.5021813742050455,50.88711929321289,0.0003,A,holdout_F01,F01
3,0.01196551317717,3.944518566131592,5.116729259490967,0.2693441662650865,21.713960647583008,24.38998031616211,0.3485388619798485,53.64903259277344,0.0003,A,holdout_F01,F01
4,0.0107448269221407,3.793232917785645,4.848425388336182,0.1892991512591181,18.713064193725582,20.33663558959961,0.5470775216140357,48.5428352355957,0.0003,A,holdout_F01,F01
5,0.0085750991695249,3.3268420696258545,4.331528663635254,0.1894835107131467,18.59608268737793,20.354103088378903,0.5462991506408903,48.26120376586914,0.0003,A,holdout_F01,F01
6,0.0086313563562016,3.358343601226806,4.345860958099365,0.2253478120046426,19.066356658935547,22.27350807189941,0.4566960050280257,46.687156677246094,0.0003,A,holdout_F01,F01
7,0.0073571782229835,3.1039962768554688,4.011813163757324,0.2038711535959289,19.020715713500977,21.11432647705078,0.511774845935773,48.49825668334961,0.0003,A,holdout_F01,F01
8,0.0081686842809327,3.218830108642578,4.227128982543945,0.1904256868525781,18.580190658569336,20.400177001953125,0.5442428348521575,47.83210754394531,0.0003,A,holdout_F01,F01
9,0.006009109595596,2.818392753601074,3.626131296157837,0.2123784395554908,18.5996036529541,21.599584579467773,0.4890757976290015,45.48817825317383,0.0003,A,holdout_F01,F01
10,0.0069988065543318,2.989203929901123,3.9139039516448975,0.1925686694926881,18.65470695495605,20.52049446105957,0.5388509828016745,48.82221984863281,0.0003,A,holdout_F01,F01
11,0.0064821314416632,2.8989293575286865,3.765936136245728,0.2091622334396771,19.479122161865234,21.377098083496094,0.4995472295887773,49.74000930786133,0.00015,A,holdout_F01,F01
12,0.0040258249408519,2.219768762588501,2.9680895805358887,0.2025971996459142,19.076454162597656,21.05950927734375,0.5143066300403425,50.30128479003906,0.00015,A,holdout_F01,F01
13,0.0041788015373301,2.3052961826324463,3.0242505073547363,0.2692518682239236,21.811189651489254,24.388500213623047,0.348617908752312,54.36257553100586,0.00015,A,holdout_F01,F01
1,0.0525224907410429,7.917407512664795,10.773870468139648,0.0391227796279889,7.52053689956665,9.250279426574709,0.8423804133440993,27.35990524291992,0.0003,A,holdout_F02,F02
2,0.0151355691184861,4.455860614776611,5.754611968994141,0.0540117394371869,8.69530963897705,10.871517181396484,0.7822887763150832,28.789011001586918,0.0003,A,holdout_F02,F02
3,0.0111607176533246,3.811328411102295,4.941629886627197,0.0395621141009099,7.0854573249816895,9.301621437072754,0.8406258678347479,21.923940658569336,0.0003,A,holdout_F02,F02
4,0.0093706450119521,3.504974126815796,4.527693271636963,0.0517402320893361,8.710247993469238,10.637539863586426,0.791559123223394,31.491153717041016,0.0003,A,holdout_F02,F02
5,0.007369046491982,3.1192727088928223,4.01542329788208,0.0552432850094486,9.50802230834961,10.994197845458984,0.7773474905622364,33.631103515625,0.0003,A,holdout_F02,F02
6,0.0072633490918747,3.1007721424102783,3.98604416847229,0.0346575736634927,7.041891574859619,8.707605361938477,0.8603316480322856,29.248762130737305,0.0003,A,holdout_F02,F02
7,0.0072141785092324,3.0401647090911865,3.972721576690674,0.057641028137909,9.159260749816896,11.22828483581543,0.7677651850175065,33.42153549194336,0.0003,A,holdout_F02,F02
8,0.0066841306047788,2.9242162704467773,3.824491500854492,0.0576574785522884,8.528600692749023,11.226719856262209,0.7678299201417007,28.46725845336914,0.0003,A,holdout_F02,F02
9,0.0063491267916486,2.8549070358276367,3.72702956199646,0.1032741894398625,11.032118797302246,15.027745246887209,0.584004993671856,32.015316009521484,0.00015,A,holdout_F02,F02
10,0.0042765309941494,2.3434295654296875,3.0583138465881348,0.0501887330439687,9.07104778289795,10.47812271118164,0.7977598146518898,33.21038055419922,0.00015,A,holdout_F02,F02
11,0.0041344176433086,2.2551374435424805,3.0079190731048584,0.0543929958361381,8.618048667907715,10.90658187866211,0.7808821304414454,30.56944274902344,0.00015,A,holdout_F02,F02
1,0.0551858831477416,8.774559020996094,11.71679973602295,0.2647218484151479,22.74158096313477,25.699275970458984,-0.2165845213675015,56.46526336669922,0.0003,A,holdout_F03,F03
2,0.0150913405641001,4.806581974029541,6.100987911224365,0.3152015359845717,25.655353546142575,27.919767379760746,-0.4358996349357111,64.70793151855469,0.0003,A,holdout_F03,F03
3,0.0104707526220341,4.006728172302246,5.079354286193848,0.2954873077168658,25.453283309936523,27.00643920898437,-0.3434922020307625,64.60011291503906,0.0003,A,holdout_F03,F03
4,0.0094230788613981,3.7210562229156494,4.821794033050537,0.2648768867366016,24.095439910888672,25.56513786315918,-0.2039175373212698,62.92146301269531,0.00015,A,holdout_F03,F03
5,0.005379096482523,2.8060457706451416,3.6429195404052734,0.2295122538076562,22.362648010253903,23.79682922363281,-0.0431305604627518,60.09733581542969,0.00015,A,holdout_F03,F03
6,0.0055672424634158,2.826369047164917,3.705265760421753,0.1689077095959235,18.496490478515625,20.415203094482425,0.2322710841545918,52.74782180786133,0.00015,A,holdout_F03,F03
7,0.0050110077486204,2.6868247985839844,3.517297983169556,0.1257097541788794,16.408782958984375,17.611854553222656,0.4286389453508172,48.74945831298828,0.00015,A,holdout_F03,F03
