epoch,train_loss,train_mae,val_loss,val_mae,val_rmse,lr
1,46.97945352580058,49.748783111572266,53.65313324116133,57.63924026489258,89.31265258789062,0.0007
2,45.19944577881957,49.08686828613281,51.99058915893304,55.38533020019531,87.98538970947266,0.0007
3,40.96162880092547,43.624149322509766,47.400543398814335,49.64027404785156,80.2470474243164,0.0007
4,34.48524935206194,36.69337844848633,42.39903614121806,44.58597946166992,71.2856674194336,0.0007
5,28.119796561336948,30.156349182128906,30.23461739876006,32.44213104248047,56.90138626098633,0.0007
6,21.339622793526484,23.379308700561523,29.0369402422031,31.290685653686523,48.936851501464844,0.0007
7,15.950815881388834,17.966840744018555,19.763103699942572,22.0640926361084,34.914066314697266,0.0007
8,11.2598355763677,13.22708797454834,20.407687966375725,22.630704879760742,33.29350280761719,0.0007
9,10.295914133806814,12.268412590026855,16.761109574881566,18.897977828979492,28.384305953979492,0.0007
10,10.99310061384713,12.939148902893066,17.086253371209843,19.242717742919922,28.661312103271484,0.0007
