model_key,test_mae_mean,test_mae_std,test_rmse_mean,test_r2_mean,test_smape_mean
A,15.234565893809,8.36171524803491,17.417903820673626,0.4237678625983494,46.33033275604248
B,15.055813233057657,5.434116649127001,17.932440916697185,0.45311779296834925,43.07378101348877
C,15.900912284851074,6.9506385472477055,19.217419147491455,0.35936549143752666,44.858734130859375
D,14.00960930188497,6.8756985328640825,16.90156586964925,0.4881580266649261,39.649569511413574
