model_key,folds,val_mae_mean,val_mae_std,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std,test_r2_mean,test_smape_mean
A,6,13.690288782119751,4.204791668765229,15.234565893809,8.36171524803491,17.417903820673626,8.717818094590276,0.4237678625983494,46.33033275604248
B,6,12.897053400675455,5.0067577563983825,15.055813233057657,5.434116649127001,17.932440916697185,6.14837499631561,0.45311779296834925,43.07378101348877
C,6,12.425266663233439,4.738386455676302,15.900912284851074,6.9506385472477055,19.217419147491455,7.2597328622534345,0.35936549143752666,44.858734130859375
D,6,12.816782474517822,4.460970878239812,14.00960930188497,6.875698532864081,16.90156586964925,7.3909195543096375,0.4881580266649261,39.649569511413574
