model_key,folds,best_epoch_mean,val_mae_mean,val_mae_std,test_mae_mean,test_mae_std,test_mae_median,test_mae_min,test_mae_max,test_rmse_mean,test_rmse_std,test_r2_mean,test_r2_std,test_smape_mean,test_smape_std,rank_by_mae,rank_by_rmse,rank_by_r2
D,6,2.8333333333333335,12.816782474517822,4.460970878239812,14.00960930188497,6.8756985328640825,15.639764785766602,5.749039173126221,23.341716766357425,16.90156586964925,7.3909195543096375,0.4881580266649261,0.41322422615822935,39.649569511413574,15.048881776602434,1,1,1
B,6,4.166666666666667,12.897053400675455,5.0067577563983825,15.055813233057657,5.434116649127001,16.211055755615234,6.779482364654541,22.141338348388672,17.932440916697185,6.14837499631561,0.45311779296834925,0.3535531543900872,43.07378101348877,12.086497285058165,2,3,2
A,6,6.333333333333333,13.690288782119751,4.204791668765229,15.234565893809,8.36171524803491,17.675086975097656,4.648744583129883,26.377084732055664,17.417903820673626,8.717818094590276,0.4237678625983494,0.524294468241054,46.33033275604248,18.399614968316442,3,2,3
C,6,4.5,12.425266663233439,4.738386455676302,15.900912284851074,6.9506385472477055,18.35093355178833,7.240108966827393,22.75926399230957,19.217419147491455,7.2597328622534345,0.35936549143752666,0.4658061589544154,44.858734130859375,14.893799638839793,4,4,4
