seq_len,fusion,model,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,late_weight_image
10,image_only,hist_gradient_boosting,3.5453338871735025,7.522903109967132,0.9817437408930214,13.550624507548363,20.27828683252848,0.9334871730781197,
10,late_weighted_average,random_forest,3.589825227028479,5.796413632961529,0.9891617393155911,17.922516354624257,22.239810129359963,0.9199972283085545,0.7000000000000001
10,early_fusion,hist_gradient_boosting,3.6532865017400002,7.622571586857446,0.9812567940378607,14.250897062547198,20.776576361181476,0.9301782303295714,
8,early_fusion,hist_gradient_boosting,3.895812547055573,8.521775430299611,0.9769232815077231,14.07877604122469,21.697444233229675,0.9246148145968018,
8,late_weighted_average,random_forest,3.939563851881537,6.530541661455769,0.9864477223567806,17.63082190979641,21.92324653270813,0.923037603788274,0.7000000000000001
10,early_fusion,random_forest,4.027705812183102,7.674466920852794,0.9810007135282229,18.79267312570086,23.886793573176806,0.9077091606136529,
8,early_fusion,random_forest,4.0565510062429,8.187559920634344,0.9786978781558371,18.53038822335764,23.393566559958227,0.9123682017829816,
10,image_only,random_forest,4.086507784459466,7.5730540997758995,0.9814995210098447,19.157940941717097,23.750989374367784,0.9087555844456954,
10,early_fusion,extra_trees,4.095735042158511,7.170530671920951,0.9834139316869044,22.434122848575715,26.497962558724897,0.8864288960670718,
5,late_weighted_average,random_forest,4.133033816619535,6.510732456046596,0.9868226094046941,15.422700964854265,21.95689142893308,0.9239362275496006,0.55
8,image_only,hist_gradient_boosting,4.220345572710085,8.925753477980912,0.9746835004147494,13.130887120120724,20.40647041399085,0.9333186116734886,
8,early_fusion,extra_trees,4.3519494789915925,7.650870403501665,0.9813990308335748,23.256181644245146,27.199108405937597,0.8815382397589915,
10,image_only,extra_trees,4.399098920741986,7.550329272056291,0.9816103849769299,23.441310044977516,27.225238591581096,0.8801090857809162,
8,image_only,random_forest,4.449452219196763,8.558475075429186,0.9767240903836554,18.58358146120973,23.103124637405514,0.9145306723107182,
5,early_fusion,random_forest,4.545153639944996,10.121993868099993,0.9681505556307826,14.603354906700577,22.05891287824158,0.9232277333762066,
3,late_weighted_average,random_forest,4.640562560272869,6.618792305503717,0.9865747723063585,17.396619118572918,23.594317172739114,0.9130148087513418,0.4
5,image_only,random_forest,4.921915844976281,10.554987139614287,0.9653673967651821,14.18866744452032,21.62364152226521,0.926227616030145,
8,image_only,extra_trees,4.962886487394952,8.515296211769105,0.9769583592359795,23.3651250523169,27.129162286592063,0.882146736633088,
10,numeric_only,extra_trees,5.149662731871838,7.619789742565777,0.9812704721425773,18.55659670164922,24.86547318000444,0.8999916322369346,
8,numeric_only,extra_trees,5.2936974789915965,7.733186050496693,0.9809966223363706,18.644618834080767,24.955104727527925,0.9002787671094789,
5,early_fusion,extra_trees,5.336907759197319,9.126678297356928,0.9741062348026779,24.41035875000001,28.206440584028336,0.8744742795700606,
